Lesson,Question ID,Type,Question,Options,Correct Answer,Explanation,Current Difficulty Tag,Difficulty Band,Status
gulliver-lo-1-4,glo14-mx-1,mastery-check,What is 'effectiveness'?,"A. Doing the right work, in the right way, rather than doing the wrong task well | B. Producing each item using the least possible amount of resources and waste | C. The number of finished units a worker turns out in each hour of work | D. How quickly a task gets done, whether or not it was the right task","A. Doing the right work, in the right way, rather than doing the wrong task well","Effectiveness is about doing the RIGHT thing, in the right way, not just doing things quickly or cheaply.",-0.5,Easy,existing
gulliver-lo-1-4,glo14-mx-2,mastery-check,A worker perfectly completes a task that didn't actually need to be done. What does this describe?,"A. High effectiveness and high efficiency at once | B. Possibly high efficiency, but LOW effectiveness | C. High productivity, but nothing else changed | D. This scenario is completely impossible in practice","B. Possibly high efficiency, but LOW effectiveness","You can execute a task efficiently (with little waste) while still being ineffective, because it wasn't the right task to do in the first place.",1,Hard,existing
gulliver-lo-1-4,glo14-mx-3,mastery-check,Which best defines productivity?,A. The amount of output generated per unit of input | B. How much a business chooses to spend on advertising | C. The total number of stakeholders that a business has | D. Whether or not a task was the right one to do,A. The amount of output generated per unit of input,"Productivity measures output relative to input, such as units produced per hour worked.",-1,Easy,existing
gulliver-lo-1-4,glo14-mx-4,mastery-check,How do consumers typically benefit when a business becomes more productive?,"A. A lower cost per unit can be passed on as lower prices or better products | B. Consumers usually pay more, since companies charge extra for the new technology | C. The gains stay with the business, since prices are set by demand alone | D. Consumers benefit only if they happen to own stock in that company",A. A lower cost per unit can be passed on as lower prices or better products,Lower cost per unit from higher productivity can translate into lower prices and better products for consumers.,0,Medium,existing
gulliver-lo-1-4,glo14-mx-5,mastery-check,A company invests in expensive new equipment even though it costs a lot upfront. Why might this make sense?,A. The productivity and efficiency gains usually repay the upfront cost over time | B. New equipment is mostly bought to impress customers and investors | C. The cost can always be fully deducted from the company's taxes right away | D. Older equipment is legally required to be replaced every few years,A. The productivity and efficiency gains usually repay the upfront cost over time,"Even with a high upfront cost, technology that improves effectiveness, efficiency, and productivity typically pays for itself.",0.5,Hard,existing
gulliver-lo-1-4,glo14-mx-6,mastery-check,Which scenario is the BEST example of a technology improving efficiency specifically?,A. A machine that uses less raw material to make the same product | B. A worker who works longer hours without any new tools | C. A business that raises its prices with no other changes | D. A company that hires more workers to do the exact same amount of work,A. A machine that uses less raw material to make the same product,"Using less raw material to make the same product is a direct efficiency gain, with less waste of resources.",1,Hard,existing
gulliver-lo-1-4,glo14-mx-7,mastery-check,"Why does technology's 'real payoff' come from improving effectiveness, efficiency, AND productivity together, rather than just one?","A. Because doing the right work, with less waste and more output, compounds together | B. Because improving just one of the three usually cancels out the other two | C. Because customers only notice a change when all three improve at once | D. Because the three are really just different names for one single idea","A. Because doing the right work, with less waste and more output, compounds together","The three concepts reinforce each other: the biggest gains come from improving all three together, not just one in isolation.",1.5,Hard,existing
gulliver-lo-1-4,glo14-mx-8,mastery-check,"Which term means 'the amount of output produced for a given amount of input, such as units made per hour worked'?",A. Productivity | B. Effectiveness | C. Efficiency | D. Revenue,A. Productivity,"Productivity is output per unit of input (e.g., units per hour). Effectiveness is doing the right thing; efficiency is using the least resources.",-1,Easy,existing
gulliver-lo-1-5,glo15-aq1,applied-question,"Why does Store B have a competitive edge over Store A, even though they sell the exact same products?","A. Store B lets its workers fix a customer's problem immediately, on the spot | B. Store B must be selling a higher-quality product than Store A does | C. Store A simply charges more for the very same items on its shelves | D. Store B spends far more on advertising to bring its customers back","A. Store B lets its workers fix a customer's problem immediately, on the spot","Empowering the frontline worker let Store B exceed customer expectations, creating a real competitive edge unrelated to the product itself.",0.5,Hard,existing
gulliver-lo-1-5,glo15-mx-1,mastery-check,What is a 'competitive edge'?,A. A legal requirement all businesses must follow | B. An advantage that helps a business meet or beat its competition | C. The total revenue of a business | D. A type of tax on businesses,B. An advantage that helps a business meet or beat its competition,"A competitive edge is an advantage, like quality or service, that helps a business stand out against competitors.",-1.5,Easy,existing
gulliver-lo-1-5,glo15-mx-2,mastery-check,"What does it mean to exceed customer expectations, rather than just meet them?","A. Giving customers exactly what they asked for and nothing more | B. Giving customers more than they expected, going beyond the bare minimum | C. Ignoring what customers want entirely | D. Charging customers extra for basic service","B. Giving customers more than they expected, going beyond the bare minimum","Exceeding expectations means delivering more than the customer anticipated, not just the bare minimum they asked for.",-1,Easy,existing
gulliver-lo-1-5,glo15-mx-3,mastery-check,Why would a business aim for 'zero defects' instead of just 'mostly good' products?,A. Because near-flawless quality can become a real edge over sloppier rivals | B. Because a single small defect will always destroy a company completely | C. Because customers honestly never notice small differences in quality | D. Because fixing defects later is usually cheaper than preventing them,A. Because near-flawless quality can become a real edge over sloppier rivals,Aiming for essentially flawless quality helps a business stand out against competitors with more frequent mistakes.,0.5,Hard,existing
gulliver-lo-1-5,glo15-mx-4,mastery-check,What is a 'frontline worker'?,A. An employee who never interacts with the public | B. An employee who deals directly with customers | C. Only the CEO or top executives of a company | D. A government inspector who visits the business,B. An employee who deals directly with customers,"Frontline workers are the employees who directly interact with customers, like cashiers, servers, or support reps.",-1,Easy,existing
gulliver-lo-1-5,glo15-mx-5,mastery-check,Why might a business that empowers its frontline workers create a better customer experience?,A. Because problems get solved right away instead of being pushed up the chain | B. Because empowered workers can be paid far less than regular employees | C. Because giving workers authority removes the need to train them at all | D. Because customers would rather deal with a manager for every small issue,A. Because problems get solved right away instead of being pushed up the chain,"When frontline workers have real authority, they can fix issues on the spot, which usually improves the customer's experience.",-0.5,Easy,existing
gulliver-lo-1-5,glo15-mx-6,mastery-check,Two businesses sell identical products at the same price. How could one still gain a real competitive edge?,A. By offering better service and consistently exceeding customer expectations | B. By quietly lowering its product quality to cut costs and charge less | C. By charging noticeably more so customers assume the product is better | D. By spending far more than the competitor does on television advertising,A. By offering better service and consistently exceeding customer expectations,"Even with identical products, service quality, empowered employees, and exceeding expectations can still create a real competitive edge.",1,Hard,existing
gulliver-lo-1-5,glo15-mx-7,mastery-check,What is the connection between empowering frontline workers and exceeding customer expectations?,"A. Giving workers the authority to act fast is often what exceeds expectations | B. Empowered workers tend to make more mistakes, which lowers satisfaction | C. Exceeding expectations really depends on price, not on the workers at all | D. The two ideas really apply to totally different kinds of businesses",A. Giving workers the authority to act fast is often what exceeds expectations,"Giving frontline workers the authority to act fast is often exactly what allows a business to exceed, not just meet, customer expectations.",1,Hard,existing
gulliver-lo-1-6,glo16-aq1,applied-question,Why was the first draft of the diversity policy incomplete?,"A. Because it covered only race and gender, leaving out many other groups | B. Because it tried to cover far too many different groups all at once | C. Because diversity policies mostly create legal headaches for a company | D. Because hiring should really be based on seniority more than anything","A. Because it covered only race and gender, leaving out many other groups","The modern definition of diversity is much broader than race and gender alone, and the first draft missed most of it.",0,Medium,existing
gulliver-lo-1-6,glo16-mx-1,mastery-check,Which of these groups is part of the modern definition of workplace diversity?,A. Only people under 30 | B. People with disabilities | C. Only people born in the same country | D. Only employees in management roles,B. People with disabilities,"People with disabilities are explicitly part of the modern, broader definition of diversity.",-1.5,Easy,existing
gulliver-lo-1-6,glo16-mx-2,mastery-check,What does 'managing diversity' actually require from a business?,"A. Dealing sensitively with a wide range of workers, cultures, and backgrounds | B. Making sure every single employee is treated in the exact same way | C. Hiring mostly people with similar backgrounds to reduce workplace conflict | D. Setting strict numeric quotas for each group the company decides to track","A. Dealing sensitively with a wide range of workers, cultures, and backgrounds",Managing diversity means actively and sensitively handling differences among a wide range of workers and cultures.,-0.5,Easy,existing
gulliver-lo-1-6,glo16-mx-3,mastery-check,Why is Social Security discussed so much in the media today?,A. Because an aging population will draw ever more money from today's workers | B. Because Social Security was only just created within the last few years | C. Because businesses have recently been made exempt from paying into it | D. Because the program has started returning its money to the government,A. Because an aging population will draw ever more money from today's workers,"The aging population means Social Security will require increasingly large amounts of money from current workers, making it a major ongoing topic.",0.5,Hard,existing
gulliver-lo-1-6,glo16-mx-4,mastery-check,Which statement BEST reflects how diversity has changed as a concept over time?,"A. It has broadened to include age, disability, religion, personality, and more | B. It has actually narrowed over time to cover fewer groups than before | C. It has stayed focused on race and gender, which are what really matter | D. It has shifted to mean treating every worker as exactly identical","A. It has broadened to include age, disability, religion, personality, and more",The concept of diversity has broadened significantly beyond just race and gender.,0,Medium,existing
gulliver-lo-1-6,glo16-mx-5,mastery-check,"How does an aging population connect to businesses, not just government?","A. It shapes payroll contributions and how firms plan for waves of retirements | B. It only matters to the government, since businesses don't pay into it | C. It mainly affects companies that sell products aimed at older customers | D. It simply means businesses will steadily need far fewer workers overall",A. It shapes payroll contributions and how firms plan for waves of retirements,"An aging population changes worker contributions, retirement planning, and staffing decisions, all things businesses have to account for.",1,Hard,existing
gulliver-lo-1-6,glo16-mx-6,mastery-check,A company assumes diversity only means hiring people of different races. What is this company most likely to overlook?,"A. Age, disability, religion, and personality differences among its workers | B. Whether its advertising is reaching enough younger, first-time customers | C. How its salaries compare with what rival companies are paying workers | D. Which suppliers can deliver its raw materials at the lowest cost","A. Age, disability, religion, and personality differences among its workers",Limiting diversity to race alone overlooks the much wider range of groups that modern diversity actually includes.,0.5,Hard,existing
gulliver-lo-1-6,glo16-mx-7,mastery-check,Which of the following is an accurate description of Social Security's funding?,"A. Benefits for older citizens are funded largely by today's working population | B. The program is funded entirely by businesses, with nothing taken from workers | C. Older citizens fully pre-paid their own benefits earlier in their own lives | D. The program is paid from a separate savings account kept for each person",A. Benefits for older citizens are funded largely by today's working population,Social Security benefits for older citizens are funded largely by drawing on the current working population.,0.5,Hard,existing
gulliver-lo-1-6,glo16-mx-8,mastery-check,"A company operates in five countries with a workforce spanning four generations, several religions, and many first languages. Which approach best reflects managing diversity WELL?",A. Apply one identical policy everywhere and ignore local and cultural differences | B. Deal sensitively with the range of workers and cultures in each location | C. Hire only workers who share the manager's own background to avoid friction | D. Treat diversity purely as a legal box to check and nothing more,B. Deal sensitively with the range of workers and cultures in each location,"Managing diversity well means dealing sensitively with a wide range of workers and cultures, including across countries, not applying one rigid policy or avoiding differences.",1,Hard,existing
gulliver-lo-1-6,glo16-mx-9,mastery-check,"As the population ages, a large employer sees many workers nearing retirement and rising payroll contributions. Which combination of effects is it most likely planning around?","A. Replacing retiring workers, plus higher Social Security contributions from current workers | B. A shrinking need for new hires, since older workers rarely ever retire | C. Lower payroll costs, because retirees no longer count toward contributions | D. Mostly a public-relations issue, with little real effect on staffing or costs","A. Replacing retiring workers, plus higher Social Security contributions from current workers","An aging population means employers plan for waves of retirements AND for Social Security drawing more from the current working population, connecting the social change directly to business planning.",1,Hard,existing
gulliver-lo-1-7,glo17-aq1,applied-question,Why do the defense manufacturer and the travel company react so differently to the same conflict?,A. Because conflict pushes defense demand up while pushing tourism sharply down | B. Because the travel company simply managed its own business poorly that year | C. Because global events tend to reach some industries much later than others | D. Because defense firms are shielded from world events by the government,A. Because conflict pushes defense demand up while pushing tourism sharply down,"Global instability affects industries unevenly: some, like defense, can see rising demand, while others, like tourism, tend to suffer.",0.5,Hard,existing
gulliver-lo-1-7,glo17-mx-1,mastery-check,Why are China and India specifically named as major competitive challenges for U.S. businesses?,A. Because their large workforces and fast-growing economies compete hard for business | B. Because they mainly buy American products rather than making their own | C. Because they focus their competition almost entirely on the tourism industry | D. Because their currencies are the most widely used in all of world trade,A. Because their large workforces and fast-growing economies compete hard for business,Their scale and economic growth make China and India major sources of competitive pressure on U.S. businesses.,-0.5,Easy,existing
gulliver-lo-1-7,glo17-mx-2,mastery-check,"Which industry tends to PROSPER during periods of war, according to the chapter?",A. The tourism and travel industry | B. The defense and weapons industry | C. Only the restaurant industry | D. No industry ever benefits from war,B. The defense and weapons industry,The defense industry often sees rising demand for its products during periods of conflict.,-1,Easy,existing
gulliver-lo-1-7,glo17-mx-3,mastery-check,What is one suggested way to help minimize world tensions?,A. Helping less-developed countries grow more prosperous and stable over time | B. Cutting off trade with less-developed countries until the tensions cool down | C. Leaving struggling countries to solve their own problems without any help | D. Shrinking the defense industry so that fewer weapons are ever produced,A. Helping less-developed countries grow more prosperous and stable over time,Helping less-developed countries become more prosperous is identified as one way to help reduce world tensions.,-0.5,Easy,existing
gulliver-lo-1-7,glo17-mx-4,mastery-check,"How does this lesson connect back to the economic environment factors from lesson 1.3 (enforceable contracts, stable currency, low corruption)?","A. More prosperous, stable countries tend to have less incentive toward conflict | B. Strong contracts and stable currencies actually tend to spark more conflict | C. The economic environment matters at home but has no real effect abroad | D. Global tension depends only on military strength, not on economics","A. More prosperous, stable countries tend to have less incentive toward conflict","A stronger economic environment in less-developed countries is tied to greater prosperity and, potentially, less instability and conflict.",1.5,Hard,existing
gulliver-lo-1-7,glo17-mx-5,mastery-check,A U.S. airline's bookings to a region drop sharply after reports of instability there. What does this best illustrate?,A. That tourism-related industries tend to suffer when a region becomes unstable | B. That the defense industry must be struggling in that same region too | C. That the airline simply set its ticket prices too high that season | D. That instability affects foreign airlines but never U.S. ones,A. That tourism-related industries tend to suffer when a region becomes unstable,This is a direct example of tourism-related businesses suffering due to travelers avoiding unstable regions.,0.5,Hard,existing
gulliver-lo-1-7,glo17-mx-6,mastery-check,"Why do businesses need to track global events, not just domestic ones?",A. Because foreign competition and global instability can hit many industries hard | B. Because global events matter only to businesses that export overseas | C. Because tracking world news is mainly a job for government agencies | D. Because domestic events are always more important than foreign ones,A. Because foreign competition and global instability can hit many industries hard,"Global competition and instability have real, if uneven, effects on U.S. businesses across different industries.",0,Medium,existing
gulliver-lo-1-7,glo17-mx-7,mastery-check,What is the key takeaway about how war and terrorism affect businesses overall?,A. The effects are uneven: defense can prosper while tourism tends to suffer | B. Every industry is hurt by war and terrorism in roughly the same way | C. The effects are always short-lived and fade within just a few weeks | D. Only businesses located inside the conflict zone feel any impact,A. The effects are uneven: defense can prosper while tourism tends to suffer,"War and terrorism affect industries unevenly, helping some (like defense) while hurting others (like tourism).",0.5,Hard,existing
gulliver-lo-1-8,glo18-aq1,applied-question,What is the main lesson this family's history illustrates for someone heading into college and a career today?,"A. That jobs keep changing, so staying adaptable matters most of all | B. That the safest move is to lock into one skill and stick with it | C. That only farming jobs have ever been replaced by new technology | D. That a college education has little to do with this whole pattern","A. That jobs keep changing, so staying adaptable matters most of all",The repeating pattern of displacement and adaptation shows why staying adaptable and continuing to learn new skills matters for future graduates.,0,Medium,existing
gulliver-lo-1-8,glo18-mx-1,mastery-check,What is the general repeating pattern described in U.S. economic history?,"A. Technology displaces workers, who then move into a new, growing sector | B. Each new wave of technology permanently removes far more jobs than it makes | C. Workers tend to stay put in the same industry and retrain for new tools | D. New industries appear, but displaced workers rarely ever find new work","A. Technology displaces workers, who then move into a new, growing sector","The core pattern is technology-driven displacement followed by workers moving into a new, growing sector.",-0.5,Easy,existing
gulliver-lo-1-8,glo18-mx-2,mastery-check,Why did many agricultural workers move into factory jobs historically?,A. Because factories generally paid much less than farming | B. Because farm technology cut the need for agricultural labor | C. Because agricultural jobs no longer existed anywhere at all | D. Because factory work required no real skills whatsoever,B. Because farm technology cut the need for agricultural labor,"Improved farm technology reduced the need for farm labor, and displaced workers moved into the growing factory sector.",-1,Easy,existing
gulliver-lo-1-8,glo18-mx-3,mastery-check,What combination of factors pushed many factory workers into service industries?,"A. Rising manufacturing productivity combined with growing foreign competition | B. A sharp, sudden drop in demand for manufactured goods across the country | C. New laws that pushed most factories to relocate to other states | D. A large increase in the number of farming jobs available",A. Rising manufacturing productivity combined with growing foreign competition,"Rising manufacturing productivity and foreign competition together reduced the number of factory jobs needed, pushing workers into services.",0,Medium,existing
gulliver-lo-1-8,glo18-mx-4,mastery-check,How does the shift toward the information age relate to earlier economic shifts?,"A. It continues the same pattern of displacement into new, growing sectors | B. It reverses the pattern, pulling workers back into older industries | C. It is the very first time technology has ever reshaped which jobs exist | D. It affects office jobs only, leaving every other industry untouched","A. It continues the same pattern of displacement into new, growing sectors",The shift to the information age follows the same historical pattern seen with agriculture-to-factory and factory-to-service shifts.,0.5,Hard,existing
gulliver-lo-1-8,glo18-mx-5,mastery-check,What is the main takeaway from this repeating pattern for a student planning a future career?,"A. That adaptability matters most, since the available jobs keep changing | B. That picking one stable skill early is the safest lifelong bet | C. That the pattern applied to past generations but has now stopped | D. That the field a student chooses to study makes almost no difference","A. That adaptability matters most, since the available jobs keep changing","Since this displacement-and-adaptation pattern keeps repeating, staying adaptable and continuing to learn is the practical takeaway for future graduates.",-0.5,Easy,existing
gulliver-lo-1-8,glo18-mx-6,mastery-check,"A worker in a shrinking industry retrains for a role in a growing, technology-driven field. What historical pattern does this best match?","A. It matches displacement followed by a move into a growing sector | B. It shows that the old pattern has finally broken down for good | C. It applies only to farm workers, not to other kinds of jobs | D. It proves technology creates far more jobs than it ever removes",A. It matches displacement followed by a move into a growing sector,This worker's experience mirrors the same historical pattern of displacement and adaptation into a growing sector.,0.5,Hard,existing
gulliver-lo-1-8,glo18-mx-7,mastery-check,Which best summarizes what U.S. economic history shows about jobs over time?,"A. The specific jobs change, but the cycle of displacement keeps repeating | B. Once a worker is displaced by technology, new work rarely appears | C. Only farming and manufacturing have ever been reshaped by change | D. New technology tends to leave the total number of jobs unchanged","A. The specific jobs change, but the cycle of displacement keeps repeating","The specific jobs change, but the underlying cycle of displacement and adaptation into new, growing sectors is a consistent historical pattern.",1,Hard,existing
gulliver-lo-1-3,glo13-new-easy1,proposed-mcq,"From a business’s perspective, lower taxes and lighter regulation generally mean:",A. Lower risk and more room to grow | B. Higher risk and less growth | C. No effect on the business at all | D. An automatic loss every year,A. Lower risk and more room to grow,"Lower taxes and lighter regulation generally mean lower risk, more growth, and more money kept by workers and the business.",-1.5,Easy,PROPOSED-NEW
gulliver-lo-1-3,glo13-new-easy2,proposed-mcq,Which of these lowers the risk of starting a business?,"A. Enforceable contracts | B. High corruption | C. An unstable currency | D. Unpredictable, sudden tax changes",A. Enforceable contracts,"Enforceable contracts, private ownership, stable currency, and low corruption lower risk; the others raise it.",-1,Easy,PROPOSED-NEW
gulliver-lo-1-3,glo13-new-med1,proposed-mcq,What does it mean for contracts to be “enforceable”?,"A. Deals can be honored in court, so businesses can trust agreements | B. Contracts can be ignored whenever convenient | C. Only the government may sign contracts | D. Contracts must be rewritten every year","A. Deals can be honored in court, so businesses can trust agreements","Enforceable contracts let businesspeople count on deals being honored in court, which lowers risk.",0,Medium,PROPOSED-NEW
gulliver-lo-1-3,glo13-new-med2,proposed-mcq,Which combination describes an economic environment with LOW risk for entrepreneurs?,"A. Private ownership, a stable currency, and low corruption | B. High corruption, an unstable currency, and unclear property rights | C. No enforceable contracts and unpredictable taxes | D. Government seizing businesses without warning","A. Private ownership, a stable currency, and low corruption","A strong environment — private ownership, enforceable contracts, a stable currency, and low corruption — lowers risk.",0,Medium,PROPOSED-NEW
gulliver-lo-1-3,glo13-new-hard1,proposed-mcq,"Two entrepreneurs have the identical idea, but one country has enforceable contracts and a stable currency while the other has neither. Why is the second venture riskier?",A. They can’t fully trust that deals will be honored or that money will hold its value | B. Their idea is automatically worse than the first entrepreneur’s | C. A good idea removes all risk regardless of environment | D. Currency stability has nothing to do with business risk,A. They can’t fully trust that deals will be honored or that money will hold its value,"Same idea, very different risk — without enforceable contracts and a stable currency, the entrepreneur can’t rely on deals or the value of money.",1,Hard,PROPOSED-NEW
gulliver-lo-1-3,glo13-new-hard2,proposed-mcq,A government wants to attract more entrepreneurs. Which package of changes would most reduce business risk?,"A. Protect private ownership, enforce contracts, stabilize the currency, and reduce corruption | B. Raise taxes sharply and add heavy new regulations | C. Make the currency less predictable to keep businesses alert | D. Allow more corruption to speed up approvals","A. Protect private ownership, enforce contracts, stabilize the currency, and reduce corruption","Governments lower entrepreneurs’ risk by allowing private ownership, enforcing contracts, stabilizing currency, and cutting corruption.",1.5,Hard,PROPOSED-NEW
gulliver-lo-1-4,glo14-new-easy1,proposed-mcq,What does “efficiency” mean?,A. Producing items using the least amount of resources | B. Doing the right thing in the right way | C. The total output per hour of work | D. Spending as much money as possible,A. Producing items using the least amount of resources,Efficiency is producing with the least resources — doing things without waste.,-1.5,Easy,PROPOSED-NEW
gulliver-lo-1-4,glo14-new-easy2,proposed-mcq,“The number of units a worker produces per hour” is a measure of:,A. Productivity | B. Effectiveness | C. Efficiency | D. Profit,A. Productivity,"Productivity is output generated per unit of input, like units produced per hour worked.",-1,Easy,PROPOSED-NEW
gulliver-lo-1-4,glo14-new-med1,proposed-mcq,A worker completes a task quickly and with no waste — but it was the wrong task. This worker is:,A. Efficient but not effective | B. Effective but not efficient | C. Both effective and efficient | D. Neither efficient nor productive,A. Efficient but not effective,Efficiency is doing something with the least waste; effectiveness is doing the RIGHT thing. You can be efficient at the wrong task.,0,Medium,PROPOSED-NEW
gulliver-lo-1-4,glo14-new-med2,proposed-mcq,How do consumers benefit when technology makes a business more productive?,"A. Lower prices and better products, since more can be made at lower cost per unit | B. Higher prices, since technology is expensive | C. Nothing changes for consumers | D. Fewer products become available","A. Lower prices and better products, since more can be made at lower cost per unit","More productive businesses can produce more at lower cost per unit, benefiting consumers through lower prices and better products.",0,Medium,PROPOSED-NEW
gulliver-lo-1-4,glo14-new-hard1,proposed-mcq,Why do businesses invest in new technology even when it’s expensive upfront?,"A. The gains in effectiveness, efficiency, and productivity usually pay for themselves over time | B. Technology always lowers product quality, which cuts costs | C. Expensive tools guarantee zero competition | D. It forces workers to work far longer hours","A. The gains in effectiveness, efficiency, and productivity usually pay for themselves over time",Technology’s payoff — improving all three at once — typically pays back the upfront cost.,1,Hard,PROPOSED-NEW
gulliver-lo-1-4,glo14-new-hard2,proposed-mcq,"A factory adds software that helps workers do the right jobs, with less waste, and more output per hour. Why is this technology’s “biggest payoff”?","A. It improves effectiveness, efficiency, and productivity all at once, benefiting workers, the business, and consumers | B. It improves only efficiency while hurting the other two | C. It benefits owners but never workers or consumers | D. It replaces the need for any knowledge factor","A. It improves effectiveness, efficiency, and productivity all at once, benefiting workers, the business, and consumers","The real payoff is improving all three together — the gains flow to workers, businesses, and consumers alike.",1.5,Hard,PROPOSED-NEW
gulliver-lo-1-5,glo15-new-easy1,proposed-mcq,What does “zero defects” mean as a quality goal?,A. Products with essentially no flaws at all | B. Making products as cheaply as possible | C. Selling zero products this year | D. Having no employees on the frontline,A. Products with essentially no flaws at all,Zero defects means essentially no flaws — the highest standard of product quality.,-1.5,Easy,PROPOSED-NEW
gulliver-lo-1-5,glo15-new-easy2,proposed-mcq,Who are “frontline workers”?,A. Employees who deal directly with customers | B. The company’s top executives | C. Workers who never interact with customers | D. Outside government inspectors,A. Employees who deal directly with customers,Frontline workers are the employees who deal directly with customers.,-1,Easy,PROPOSED-NEW
gulliver-lo-1-5,glo15-new-med1,proposed-mcq,What does it mean to “empower” frontline workers?,"A. Give them more training, responsibility, and authority to make decisions | B. Reduce their pay to cut costs | C. Require them to escalate every issue to a manager | D. Remove them from customer contact","A. Give them more training, responsibility, and authority to make decisions","Empowering means more training, responsibility, and authority so they can solve problems on the spot.",0,Medium,PROPOSED-NEW
gulliver-lo-1-5,glo15-new-med2,proposed-mcq,"Beyond just meeting the bare minimum, businesses beat competitors by aiming to:",A. Exceed customer expectations | B. Exactly match what every competitor does | C. Do the minimum required by law | D. Avoid dealing with customers directly,A. Exceed customer expectations,"Companies aim to exceed customer expectations, giving people more than they expected — not just the minimum.",0,Medium,PROPOSED-NEW
